jour,gain_fcr_eur,gain_afrr_symetrique_eur,gain_afrr_hausse_eur,gain_afrr_baisse_eur,gain_mfrr_hausse_eur,gain_mfrr_baisse_eur,gain_total_eur
2023-10-11,717.35875,,,,139.99996800000002,,857.358718
2023-10-12,594.47375,,,,716.4799680000001,,1310.9537180000002
2023-10-13,169.57999999999998,,,,199.99996800000002,,369.579968
2023-10-14,210.34,,,,39.999936,,250.339936
2023-10-15,174.67,1058.8799999999999,,,198.333301,,1431.8833009999998
2023-10-16,519.32125,1058.8799999999999,,,387.13996800000007,,1965.341218
2023-10-17,321.28,1058.8799999999999,,,237.792083,,1617.952083
2023-10-18,250.38,1058.8799999999999,,,174.379968,,1483.6399679999997
2023-10-19,98.3,1058.8799999999999,,,78.519936,,1235.6999359999998
2023-10-20,135.305,1058.8799999999999,,,86.35996800000001,,1280.544968
2023-10-21,222.16,1058.8799999999999,,,5.699999999999999,,1286.74
2023-10-22,237.99,1058.8799999999999,,,30.0,,1326.87
2023-10-23,629.135,1058.8799999999999,,,188.34,,1876.3549999999998
2023-10-24,586.76625,1058.8799999999999,,,192.97125,,1838.6174999999998
2023-10-25,450.44,1058.8799999999999,,,127.519968,,1636.839968
2023-10-26,430.72,1058.8799999999999,,,139.99996800000002,,1629.599968
2023-10-27,312.38,1058.8799999999999,,,139.99996800000002,,1511.2599679999998
2023-10-28,124.2,1058.8799999999999,,,6.12,,1189.1999999999998
2023-10-29,130.662,981.67,,,16.78375,,1129.11575
2023-10-30,329.34000000000003,1058.8799999999999,,,199.99996800000002,,1588.2199679999999
2023-10-31,351.84000000000003,1058.8799999999999,,,103.99996800000001,,1514.7199679999999
2023-11-01,138.115,1058.8799999999999,,,6.466603,,1203.461603
2023-11-02,183.86,1058.8799999999999,,,59.431666,,1302.1716659999997
2023-11-03,174.78,1058.8799999999999,,,30.0,,1263.6599999999999
2023-11-04,128.06375,1058.8799999999999,,,5.67601,,1192.6197599999998
